timestamp,latency_ms
1770217134.7727385,-1309.0739250183105
1770217134.8634338,-1318.375825881958
1770217134.9528005,-1269.078254699707
1770217135.0524063,-1169.4724559783936
1770217135.1534338,-1068.4449672698975
1770217135.244062,-1314.6216869354248
1770217135.333889,-1243.4470653533936
1770217135.4337866,-1302.8907775878906
1770217135.5236897,-1309.9749088287354
1770217135.6135335,-1314.2986297607422
1770217135.713888,-1307.41286277771
1770217135.8034813,-1314.1777515411377
1770217135.8937097,-1304.0649890899658
1770217135.993483,-1304.3742179870605
1770217136.08396,-1233.8886260986328
1770217136.173957,-1264.4200325012207
1770217136.2636495,-1309.300184249878
1770217136.3635688,-1284.2707633972168
1770217136.454122,-1287.8749370574951
1770217136.5439494,-1315.234899520874
1770217136.6338549,-1245.34010887146
1770217136.7341325,-1285.8316898345947
1770217136.8236501,-1276.1976718902588
1770217136.9135966,-1304.6376705169678
1770217137.0141218,-1299.222707748413
1770217137.1036935,-1303.87282371521
1770217137.1939068,-1270.212173461914
1770217137.2937481,-1251.5239715576172
1770217137.383712,-1257.9174041748047
1770217137.4738717,-1305.809497833252
1770217137.5634987,-1311.8691444396973
1770217137.6641245,-1305.8626651763916
1770217137.7535882,-1235.384225845337
1770217137.8436298,-1277.1530151367188
1770217137.9438918,-1308.7568283081055
1770217138.0345247,-1274.6038436889648
1770217138.1240356,-1300.0762462615967
1770217138.213707,-1308.0863952636719
1770217138.3136742,-1301.8345832824707
1770217138.4039106,-1306.6229820251465
1770217138.4937456,-1297.0702648162842
1770217138.5936892,-1290.9717559814453
1770217138.6834488,-1300.9860515594482
1770217138.773656,-1304.27885055542
1770217138.8643146,-1232.3071956634521
1770217138.9639502,-1264.5363807678223
1770217139.0537426,-1268.7873840332031
1770217139.1440296,-1296.9110012054443
1770217139.2438715,-1296.0147857666016
1770217139.3336194,-1301.3684749603271
1770217139.423947,-1211.040735244751
1770217139.5136967,-1313.5201930999756
1770217139.6137154,-1292.0482158660889
1770217139.7043452,-1296.107292175293
1770217139.793547,-1303.7388324737549
1770217139.8938518,-1297.1916198730469
1770217139.9836178,-1301.1386394500732
1770217140.0740135,-1311.0523223876953
1770217140.1643476,-1300.6806373596191
1770217140.2636201,-1296.6320514678955
1770217140.3534825,-1305.5393695831299
1770217140.4444811,-1234.5118522644043
1770217140.5435274,-1215.590000152588
1770217140.633825,-1285.7458591461182
1770217140.7237992,-1296.1771488189697
1770217140.8136463,-1226.3908386230469
1770217140.914036,-1306.394100189209
1770217141.0045116,-1236.1195087432861
1770217141.093636,-1262.7151012420654
1770217141.1939795,-1260.805606842041
1770217141.2835128,-1307.1367740631104
1770217141.3737369,-1297.224998474121
1770217141.4636176,-1302.5152683258057
1770217141.5635521,-1281.3706398010254
1770217141.6536105,-1250.5078315734863
1770217141.7442286,-1274.3988037109375
1770217141.843541,-1275.4769325256348
1770217141.9338553,-1301.9590377807617
1770217142.023557,-1306.53977394104
1770217142.1238198,-1300.0118732452393
1770217142.213708,-1304.0740489959717
1770217142.3038423,-1288.90061378479
1770217142.3936865,-1299.515724182129
1770217142.4942472,-1299.1178035736084
1770217142.5838704,-1290.0550365447998
1770217142.6739755,-1277.1978378295898
1770217142.7737772,-1289.560317993164
1770217142.8638444,-1278.3396244049072
1770217142.953751,-1304.225206375122
1770217143.0436473,-1270.4048156738281
1770217143.1434448,-1303.6961555480957
1770217143.2336226,-1213.5183811187744
1770217143.3235552,-1275.8517265319824
1770217143.4139705,-1297.4438667297363
1770217143.5134687,-1291.2614345550537
1770217143.6042364,-1219.3002700805664
1770217143.6936517,-1242.283582687378
1770217143.7935605,-1254.7252178192139
1770217143.8835638,-1276.7465114593506
1770217143.9734437,-1299.2169857025146
1770217144.073444,-1292.7250862121582
1770217144.1638503,-1301.3238906860352
1770217144.2536714,-1231.5783500671387
1770217144.3439012,-1141.3486003875732
1770217144.4434385,-1041.811227798462
1770217144.5337412,-951.5085220336914
1770217144.6235266,-861.7231845855713
1770217144.7237115,-761.5382671356201
1770217144.8137307,-671.5190410614014
1770217144.9037845,-581.4652442932129
1770217144.9942403,-491.0094738006592
1770217145.0937123,-391.5374279022217
1770217145.1838913,-301.3584613800049
1770217145.2736301,-211.61961555480957
1770217145.3735366,-111.71317100524902
1770217145.4640832,-21.166563034057617
1770217145.5537083,68.45855712890625
1770217145.6438496,158.599853515625
1770217145.7439036,258.6538791656494
1770217145.8335984,348.34861755371094
1770217145.9236546,438.40479850769043
1770217146.0235438,538.2940769195557
1770217146.1137276,628.4778118133545
1770217146.2034838,718.2340621948242
1770217146.293519,808.2692623138428
1770217146.3934948,908.2450866699219
1770217146.4843054,999.0556240081787
1770217146.5735722,1088.322401046753
1770217146.6737363,1188.4865760803223
1770217146.7637537,1278.5038948059082
1770217146.8536928,1368.4430122375488
1770217146.94389,1458.6403369903564
1770217147.0434108,1558.1610202789307
1770217147.1337686,1648.5188007354736
1770217147.2237277,1738.4779453277588
1770217147.3237677,1838.5179042816162
1770217147.4136024,1928.3525943756104
1770217147.504351,2019.1011428833008
1770217147.5938957,2108.6459159851074
1770217147.6936543,2208.404541015625
1770217147.7834337,2298.1839179992676
1770217147.8740988,2388.8490200042725
1770217147.9735868,2488.3370399475098
1770217148.0637143,2578.4645080566406
1770217148.1536028,2668.3530807495117
1770217148.2540433,2768.7935829162598
1770217148.3436747,2858.4249019622803
1770217148.4339037,2948.6539363861084
1770217148.5235565,3038.306713104248
1770217148.6235762,3138.326406478882
1770217148.7134924,3228.2426357269287
1770217148.8038368,3318.587064743042
1770217148.8942523,3409.0025424957275
1770217148.993987,3508.737325668335
1770217149.08389,3598.640203475952
1770217149.1740086,3688.7588500976562
1770217149.2734535,3788.203716278076
1770217149.3638978,3878.648042678833
1770217149.4534106,3968.16086769104
1770217149.5538857,4068.635940551758
1770217149.643958,4158.708333969116
1770217149.7335389,4248.289108276367
1770217149.823952,4338.702201843262
1770217149.9234319,4438.18211555481
1770217150.0137858,4528.536081314087
1770217150.1035793,4618.3295249938965
1770217150.2034867,4718.236923217773
1770217150.293747,4808.497190475464
1770217150.3838525,4898.602724075317
1770217150.4738097,4988.55996131897
1770217150.5735068,5088.257074356079
1770217150.663622,5178.372144699097
1770217150.7536929,5268.4431076049805
1770217150.8538558,5368.606090545654
1770217150.9436212,5458.37140083313
1770217151.033508,5548.258304595947
1770217151.123878,5638.628244400024
1770217151.2238936,5738.6438846588135
1770217151.3137317,5828.481912612915
1770217151.403557,5918.307304382324
1770217151.503886,6018.636226654053
1770217151.5939088,6108.659029006958
1770217151.683676,6198.426246643066
1770217151.7737002,6288.450479507446
1770217151.8738186,6388.568878173828
1770217151.96429,6479.040145874023
1770217152.0535574,6568.307638168335
1770217152.1538002,6668.550491333008
1770217152.243503,6758.253335952759
1770217152.3339834,6848.73366355896
1770217152.4236124,6938.362598419189
1770217152.5234425,7038.1927490234375
1770217152.6136203,7128.370523452759
1770217152.7035413,7218.291521072388
1770217152.803696,7318.446159362793
1770217152.893955,7408.705234527588
1770217152.983863,7498.613357543945
1770217153.0739744,7588.724613189697
1770217153.1738224,7688.572645187378
1770217153.2639482,7778.698444366455
1770217153.3536181,7868.36838722229
1770217153.4537866,7968.536853790283
1770217153.5439694,8058.719635009766
1770217153.6340756,8148.825883865356
1770217153.723844,8238.59429359436
1770217153.8238444,8338.594675064087
1770217153.9134946,8428.244829177856
1770217154.0036814,8518.431663513184
1770217154.103415,8618.165254592896
1770217154.193918,8708.668231964111
1770217154.2836719,8798.42209815979
1770217154.3839347,8898.684978485107
1770217154.4734201,8988.170385360718
1770217154.56382,9078.570127487183
1770217154.6539366,9168.686866760254
1770217154.753939,9268.689155578613
1770217154.8441577,9358.90793800354
1770217154.9345326,9449.282884597778
1770217155.033533,9548.283338546753
1770217155.1240296,9638.779878616333
1770217155.2135634,9728.313684463501
1770217155.303649,9818.39919090271
1770217155.4041908,9918.941020965576
1770217155.4934878,10008.238077163696
1770217155.5838661,10098.616361618042
1770217155.6837354,10198.485612869263
1770217155.7743435,10289.093732833862
1770217155.8636785,10378.42869758606
1770217155.953788,10468.538284301758
1770217156.0538452,10568.59540939331
1770217156.1439762,10658.726453781128
1770217156.2337275,10748.477697372437
1770217156.3336246,10848.374843597412
1770217156.4235466,10938.296794891357
1770217156.513767,11028.517246246338
1770217156.6043122,11119.062423706055
1770217156.7036855,11218.435764312744
1770217156.793677,11308.427333831787
1770217156.8834724,11398.22268486023
1770217156.98382,11498.570203781128
1770217157.0736299,11588.380098342896
1770217157.1634386,11678.188800811768
1770217157.2539697,11768.719911575317
1770217157.3534682,11868.218421936035
1770217157.4437313,11958.481550216675
1770217157.533848,12048.598289489746
1770217157.6336832,12148.433446884155
1770217157.7238288,12238.579034805298
1770217157.814063,12328.813314437866
1770217157.9038093,12418.559551239014
1770217158.0038161,12518.566370010376
1770217158.0938993,12608.649492263794
1770217158.1839356,12698.685884475708
1770217158.2834518,12798.20203781128
1770217158.3737464,12888.49663734436
1770217158.4637299,12978.480100631714
1770217158.5540001,13068.750381469727
1770217158.6538339,13168.584108352661
1770217158.7448442,13259.594440460205
1770217158.83358,13348.33025932312
1770217158.9335675,13448.317766189575
1770217159.0241919,13538.942098617554
1770217159.113481,13628.231287002563
1770217159.2043881,13719.138383865356
1770217159.3040655,13818.8157081604
1770217159.3940167,13908.766984939575
1770217159.4836047,13998.3549118042
1770217159.5838802,14098.630428314209
1770217159.6736739,14188.424110412598
1770217159.7636845,14278.434753417969
1770217159.8641253,14378.875494003296
1770217159.9539084,14468.658685684204
1770217160.0434568,14558.207035064697
1770217160.1337936,14648.54383468628
1770217160.2334805,14748.230695724487
